Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Essential
19/12/15, 04:16:12,-42.990528,147.330566,31.76,0,0,0,109.31, 
19/12/15, 04:17:57,-42.990528,147.330566,31.76,0,0,0,0, 
19/12/15, 04:19:42,-42.992004,147.334396,-4.68,0,0,0,352.1, 
19/12/15, 04:21:28,-42.992004,147.334396,-4.68,0,0,0,0, 
19/12/15, 04:23:12,-42.994324,147.3367,-31.64,4860,104,0,318.85,1
19/12/15, 04:24:58,-42.99482,147.338287,-1.02,0,150,0,140.36,1
19/12/15, 04:26:34,-42.995598,147.339142,4.66,0,160,0,110.99, 
19/12/15, 04:28:11,-42.996384,147.339935,3.53,0,121,0,108.62, 
19/12/15, 04:29:47,-42.996895,147.340225,-0.36,0,0,0,61.52, 
19/12/15, 04:31:23,-42.997356,147.340576,-2.04,0,172,0,58.67, 
19/12/15, 04:33:00,-42.997768,147.340729,4.9,972,56,0,47.47,1
19/12/15, 04:34:37,-42.998253,147.340759,-1.79,1512,168,0,53.98,1
19/12/15, 04:36:17,-42.999264,147.341675,4.18,3708,147,0,134.86,1
19/12/15, 04:38:02,-43.000381,147.342941,-33.19,5112,134,0,161.33,1
19/12/15, 04:39:40,-43.001122,147.343491,0.02,0,187,0,93.75,1
19/12/15, 04:41:16,-43.00156,147.343491,1.66,0,55,0,48.7, 
19/12/15, 04:42:52,-43.001896,147.343506,7.02,0,0,0,37.38, 
19/12/15, 04:44:28,-43.002308,147.343658,-0.02,0,0,0,47.45, 
19/12/15, 04:46:12,-43.00338,147.344284,29.01,7776,110,0,129.62,1
19/12/15, 04:47:51,-43.00428,147.345795,-11.49,0,203,0,158.47,1
19/12/15, 04:49:35,-43.00428,147.345795,-11.49,0,203,0,0, 
19/12/15, 04:51:14,-43.006939,147.348206,17.35,0,92,0,354.76, 
19/12/15, 04:52:58,-43.006939,147.348206,17.35,0,92,0,0, 
19/12/15, 04:54:37,-43.010239,147.350342,-7.9,4500,268,0,405.97, 
19/12/15, 04:56:21,-43.010239,147.350342,-7.9,4500,268,0,0,1
19/12/15, 04:57:58,-43.013153,147.352356,7.63,3672,165,0,363.05,1
19/12/15, 04:59:37,-43.014324,147.352829,-1.22,4752,155,0,135.77,1
19/12/15, 05:01:16,-43.015411,147.353317,26.21,3024,124,0,127.21,1
19/12/15, 05:02:52,-43.016533,147.35376,-8.95,3636,177,0,129.86,1
19/12/15, 05:04:30,-43.01786,147.354218,2.59,0,165,0,152.18,1
19/12/15, 05:06:26,-43.019684,147.354477,0.43,4788,181,0,203.91,1
19/12/15, 05:08:03,-43.021545,147.354553,-16.32,13284,180,0,207.03,1
19/12/15, 05:09:41,-43.022968,147.355133,88.13,7596,130,0,165.11,1
19/12/15, 05:11:26,-43.02433,147.355743,79.2,0,0,0,159.36,1
19/12/15, 05:13:11,-43.02433,147.355743,79.2,0,0,0,0, 
19/12/15, 05:14:57,-43.027245,147.357254,-11.62,6048,57,0,346.62,1
19/12/15, 05:16:34,-43.029449,147.358063,-9.71,0,145,0,253.74,1
19/12/15, 05:18:18,-43.029449,147.358063,-9.71,0,145,0,0, 
19/12/15, 05:20:03,-43.031433,147.360489,-106.43,14400,62,0,295.89,1
19/12/15, 05:21:39,-43.033092,147.35994,10.67,0,165,0,189.79,1
19/12/15, 05:23:23,-43.033092,147.35994,10.67,0,165,0,0, 
19/12/15, 05:25:08,-43.034908,147.362427,-97.46,6480,176,0,285.72,1
19/12/15, 05:26:53,-43.036625,147.362503,15.86,3456,179,0,191.02,1
19/12/15, 05:28:38,-43.036625,147.362503,15.86,3456,179,0,0,1
19/12/15, 05:30:29,-43.038891,147.364227,11.5,3888,111,0,288.3,1
19/12/15, 05:32:05,-43.04002,147.364716,-6.12,0,106,0,131.68,1
19/12/15, 05:33:50,-43.040974,147.366226,-18.83,3456,200,0,162.21,1
19/12/15, 05:35:33,-43.042454,147.366745,-12.64,4140,159,0,169.89,1
19/12/15, 05:54:43,-43.042454,147.366745,-12.64,4140,159,0,0, 
19/12/15, 05:56:28,-43.058891,147.375854,-9.05,5832,162,0,1971.89,1
19/12/15, 05:58:12,-43.060291,147.376846,-16.4,2484,92,0,175.3,1
19/12/15, 05:59:57,-43.060291,147.376846,-16.4,2484,92,0,0,1
19/12/15, 06:01:42,-43.064003,147.378235,-109.78,13320,179,0,427.9, 
19/12/15, 06:03:26,-43.064003,147.378235,-109.78,13320,179,0,0,1
19/12/15, 06:05:09,-43.065567,147.381836,-16.3,1512,0,0,340.32,1
19/12/15, 06:06:53,-43.065567,147.381836,-16.3,1512,0,0,0,1
19/12/15, 06:08:35,-43.067875,147.383759,-10.23,9288,341,0,300.44, 
19/12/15, 06:13:48,-43.067875,147.383759,-10.23,9288,341,0,0,1
19/12/15, 06:15:24,-43.072834,147.388168,-27.23,3960,118,0,657.51,1
19/12/15, 06:17:08,-43.072834,147.388168,-27.23,3960,118,0,0,1
19/12/15, 06:18:51,-43.075451,147.391464,-4.77,0,0,0,395.41, 
19/12/15, 07:09:52,-43.075451,147.391464,-4.77,0,0,0,0, 
19/12/15, 07:13:02,-43.109825,147.423904,-1.16,2448,128,0,4641.98,1
19/12/15, 07:14:41,-43.110039,147.42421,17.63,324,0,0,34.4,1
19/12/15, 07:16:20,-43.11026,147.424377,-2.78,0,8,0,28.07, 
19/12/15, 07:17:57,-43.110752,147.424332,2.85,0,176,0,54.83, 
19/12/15, 07:19:42,-43.110752,147.424332,2.85,0,176,0,0, 
19/12/15, 07:21:26,-43.112286,147.424759,-23.09,1296,283,0,174.06, 
19/12/15, 07:23:10,-43.112286,147.424759,-23.09,1296,283,0,0,1
19/12/15, 07:24:47,-43.113289,147.425797,-1.59,828,330,0,139.78,1
19/12/15, 07:26:24,-43.113533,147.426025,0.76,792,113,0,32.84,1
19/12/15, 07:28:01,-43.113842,147.426239,-2.63,2304,33,0,38.5, 
19/12/15, 07:29:38,-43.114105,147.426453,1.95,2304,142,0,34.01,1
19/12/15, 07:31:14,-43.114559,147.4263,-17.88,2556,94,0,51.99,1
19/12/15, 07:32:50,-43.114796,147.426666,0.9,612,177,0,39.71, 
19/12/15, 07:34:27,-43.115108,147.42691,3.31,5724,28,0,39.95,1
19/12/15, 07:36:07,-43.115433,147.427032,3.57,0,169,0,37.47,1
19/12/15, 07:37:42,-43.11573,147.4272,-5.53,1908,205,0,35.73, 
19/12/15, 07:39:18,-43.116039,147.427124,-8.15,2412,65,0,34.91,1
19/12/15, 07:40:54,-43.116379,147.427368,6.54,0,229,0,42.68,1
19/12/15, 07:42:32,-43.116707,147.427551,4.56,2592,179,0,39.38, 
19/12/15, 07:44:09,-43.11697,147.427643,2.18,468,121,0,30.18,1
19/12/15, 07:45:47,-43.117325,147.427887,-0.26,2916,154,0,44.16,1
19/12/15, 07:47:23,-43.117599,147.428207,-1.52,0,73,0,40.04, 
19/12/15, 07:49:08,-43.117599,147.428207,-1.52,0,73,0,0, 
19/12/15, 07:50:48,-43.118649,147.429413,4.17,1188,131,0,152.36, 
19/12/15, 07:54:17,-43.118649,147.429413,4.17,1188,131,0,0,1
19/12/15, 07:55:56,-43.120438,147.430893,5.37,0,80,0,232.38,1
19/12/15, 07:57:33,-43.121037,147.431259,2.28,0,221,0,72.93, 
19/12/15, 07:59:09,-43.1217,147.431198,0.85,0,184,0,73.89, 
19/12/15, 08:00:45,-43.122429,147.431427,0.1,0,158,0,83.16, 
19/12/15, 08:02:23,-43.12299,147.432037,-0.23,0,120,0,79.64, 
19/12/15, 08:14:34,-43.12299,147.432037,-0.23,0,120,0,0, 
19/12/15, 08:16:16,-43.126919,147.437195,0.68,3564,153,0,605.06, 
19/12/15, 08:18:01,-43.126919,147.437195,0.68,3564,153,0,0,1
19/12/15, 08:19:45,-43.127899,147.438278,34.59,7416,161,0,140,1
19/12/15, 08:21:30,-43.127899,147.438278,34.59,7416,161,0,0,1
19/12/15, 08:23:21,-43.128876,147.438919,3.36,2268,112,0,120.45,1
19/12/15, 08:25:23,-43.129688,147.439545,2.56,2988,146,0,103.6,1
19/12/15, 08:56:31,-43.129688,147.439545,2.56,2988,146,0,0, 
19/12/15, 09:01:34,-43.133759,147.438187,0.85,1476,100,0,465.89,1
19/12/15, 09:03:16,-43.134052,147.438431,-0.95,0,157,0,38.12, 
19/12/15, 09:04:53,-43.134296,147.43869,6.06,0,96,0,34.32, 
19/12/15, 09:06:30,-43.13464,147.438828,7.69,0,0,0,39.86, 
19/12/15, 09:08:08,-43.134876,147.438919,1.82,0,127,0,27.26, 
19/12/15, 09:09:45,-43.135143,147.438995,1.91,3240,100,0,30.32,1
19/12/15, 09:11:22,-43.135468,147.439148,5.97,0,0,0,38.21,1
19/12/15, 09:12:59,-43.135647,147.439194,-0.84,0,167,0,20.25, 
19/12/15, 09:14:36,-43.135857,147.439209,2.4,0,0,0,23.38, 
19/12/15, 09:16:14,-43.136074,147.439316,-1.97,0,161,0,25.64, 
19/12/15, 09:17:52,-43.136333,147.439392,3.4,756,145,0,29.45,1
19/12/15, 09:19:30,-43.136505,147.439407,0.81,720,134,0,19.16,1
19/12/15, 09:21:08,-43.1367,147.439438,3.69,468,298,0,21.83, 
19/12/15, 09:22:46,-43.137009,147.439529,3.04,1944,129,0,35.14,1
19/12/15, 09:24:26,-43.13718,147.439484,5.97,0,260,0,19.36,1
19/12/15, 09:26:03,-43.137383,147.439514,1.3,0,0,0,22.7, 
19/12/15, 09:27:41,-43.137589,147.439468,3.51,324,180,0,23.21, 
19/12/15, 09:29:20,-43.137775,147.439499,0.08,0,189,0,20.83, 
19/12/15, 09:30:58,-43.137959,147.439499,2.05,0,194,0,20.46, 
19/12/15, 09:32:36,-43.138191,147.439545,1.47,0,165,0,26.07, 
19/12/15, 09:34:14,-43.138332,147.439529,4.79,1224,258,0,15.73,1
19/12/15, 09:35:56,-43.138557,147.43956,-0.23,0,178,0,25.14,1
19/12/15, 09:37:42,-43.138748,147.439575,6.37,1764,222,0,21.27, 
19/12/15, 09:39:29,-43.138893,147.439575,-12.49,2484,199,0,16.12, 
19/12/15, 09:41:14,-43.139141,147.439667,-5.23,1152,99,0,28.57,1
19/12/15, 09:42:55,-43.139355,147.439636,0.48,1080,215,0,23.93,1
19/12/15, 09:44:46,-43.13958,147.439651,-1.91,1800,151,0,25.05, 
19/12/15, 09:46:32,-43.139725,147.439682,-0.77,648,316,0,16.32, 
19/12/15, 09:48:20,-43.13998,147.439468,4.71,1548,161,0,33.25, 
19/12/15, 09:53:38,-43.13998,147.439468,4.71,1548,161,0,0,1
19/12/15, 09:55:19,-43.139099,147.436813,1.08,1944,278,0,236.65,1
19/12/15, 09:58:48,-43.139099,147.436813,1.08,1944,278,0,0,1
19/12/15, 10:00:36,-43.139011,147.435974,-3.18,540,166,0,68.77, 
