Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Essential
2016/01/21, 03:55:30, -42.990009, 147.330124, 91.32,  684.00, 305, 0, 28.49, 1
2016/01/21, 03:57:14, -42.990223, 147.330536, 36.92,  2772.00, 127, 0, 41.10, 
2016/01/21, 03:58:54, -42.990879, 147.331894, -2.24,  1980.00, 91, 0, 132.37, 1
2016/01/21, 04:00:32, -42.991264, 147.333267, 1.64,  0.00, 130, 0, 119.60, 1
2016/01/21, 04:02:16, -42.991142, 147.334396, -3.04,  0.00, 81, 0, 92.82, 
2016/01/21, 04:03:49, -42.991444, 147.335388, 9.43,  864.00, 206, 0, 87.39, 1
2016/01/21, 04:05:23, -42.991543, 147.336197, 15.65,  0.00, 0, 0, 66.71, 1
2016/01/21, 04:07:01, -42.991585, 147.336533, 15.46,  2484.00, 103, 0, 27.72, 
2016/01/21, 04:08:34, -42.991688, 147.336761, -6.97,  0.00, 0, 0, 21.80, 
2016/01/21, 04:10:07, -42.991783, 147.337311, 10.78,  0.00, 0, 0, 45.96, 
2016/01/21, 04:11:40, -42.991844, 147.337799, 2.90,  0.00, 124, 0, 40.27, 
2016/01/21, 04:13:13, -42.991928, 147.338394, 0.06,  0.00, 0, 0, 49.29, 
2016/01/21, 04:14:46, -42.992008, 147.338852, 5.09,  0.00, 98, 0, 38.30, 
2016/01/21, 04:16:20, -42.992004, 147.339218, -0.63,  0.00, 0, 0, 29.77, 
2016/01/21, 04:17:53, -42.992065, 147.339661, 7.73,  0.00, 120, 0, 36.66, 
2016/01/21, 04:19:27, -42.992077, 147.339996, 6.84,  1044.00, 173, 0, 27.28, 1
2016/01/21, 04:21:00, -42.992081, 147.340271, 0.27,  0.00, 93, 0, 22.37, 1
2016/01/21, 04:22:33, -42.992031, 147.340637, 4.47,  0.00, 67, 0, 30.28, 
2016/01/21, 04:24:06, -42.992092, 147.341080, 6.73,  0.00, 0, 0, 36.66, 
2016/01/21, 04:25:39, -42.992123, 147.341476, 6.67,  0.00, 137, 0, 32.39, 
2016/01/21, 04:27:12, -42.992199, 147.341858, 1.10,  720.00, 80, 0, 32.20, 1
2016/01/21, 04:28:45, -42.992229, 147.342316, 0.38,  0.00, 0, 0, 37.40, 1
2016/01/21, 04:30:18, -42.992218, 147.342819, 3.89,  0.00, 0, 0, 40.93, 
2016/01/21, 04:31:51, -42.992271, 147.343307, 0.39,  0.00, 66, 0, 40.13, 
2016/01/21, 04:33:29, -42.992218, 147.343964, 15.44,  2052.00, 98, 0, 53.76, 1
2016/01/21, 04:35:08, -42.992241, 147.344437, 13.94,  1404.00, 0, 0, 38.56, 1
2016/01/21, 04:36:47, -42.992241, 147.345032, 13.32,  2376.00, 81, 0, 48.39, 
2016/01/21, 04:38:26, -42.992294, 147.345596, 11.50,  1548.00, 87, 0, 46.25, 1
2016/01/21, 04:40:06, -42.992409, 147.346222, 11.38,  2556.00, 91, 0, 52.50, 1
2016/01/21, 04:41:47, -42.992527, 147.346893, 11.55,  2016.00, 115, 0, 56.13, 1
2016/01/21, 04:43:27, -42.992668, 147.347519, 12.71,  2088.00, 78, 0, 53.27, 1
2016/01/21, 04:45:11, -42.992790, 147.348267, 13.63,  2052.00, 94, 0, 62.33, 1
2016/01/21, 04:46:58, -42.992859, 147.348984, 18.13,  1224.00, 100, 0, 58.82, 1
2016/01/21, 04:48:48, -42.993004, 147.349747, 15.72,  2304.00, 102, 0, 64.12, 1
