Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Essential
2016/01/22, 04:03:04, -42.990742, 147.331802, -6.51,  0.00, 95, 0, 204.40, 
2016/01/22, 04:04:48, -42.990921, 147.333298, -12.29,  3384.00, 94, 0, 123.29, 1
2016/01/22, 04:06:41, -42.990913, 147.334732, -4.78,  0.00, 0, 0, 116.64, 1
2016/01/22, 04:11:56, -42.991596, 147.338242, -11.56,  2124.00, 106, 0, 295.41, 1
2016/01/22, 04:13:38, -42.991749, 147.338730, -11.90,  3168.00, 102, 0, 43.18, 1
2016/01/22, 04:15:22, -42.991863, 147.339279, -7.51,  864.00, 93, 0, 46.42, 
2016/01/22, 04:18:48, -42.992176, 147.340302, -15.01,  1008.00, 118, 0, 90.19, 1
2016/01/22, 04:20:36, -42.992321, 147.340897, -10.62,  1728.00, 89, 0, 51.01, 1
2016/01/22, 04:22:21, -42.992458, 147.341400, -5.86,  504.00, 354, 0, 43.65, 
2016/01/22, 04:23:56, -42.992538, 147.341843, -1.34,  360.00, 75, 0, 37.11, 1
2016/01/22, 04:25:33, -42.992657, 147.342163, -3.96,  0.00, 0, 0, 29.20, 1
2016/01/22, 04:27:11, -42.992828, 147.342346, -12.43,  1404.00, 91, 0, 24.15, 
2016/01/22, 04:29:10, -42.992943, 147.343002, 8.48,  936.00, 134, 0, 54.86, 1
2016/01/22, 04:31:07, -42.992657, 147.345123, 173.58,  1980.00, 106, 0, 175.41, 1
2016/01/22, 04:33:20, -42.992683, 147.345718, 191.35,  1656.00, 84, 0, 48.48, 1
2016/01/22, 04:35:45, -42.993324, 147.344757, 33.14,  1188.00, 101, 0, 105.78, 
2016/01/22, 04:38:20, -42.993504, 147.345352, 28.52,  2268.00, 108, 0, 52.37, 1
2016/01/22, 04:41:00, -42.993538, 147.346771, 77.19,  1944.00, 116, 0, 115.47, 1
2016/01/22, 04:43:47, -42.993561, 147.348022, 114.40,  1044.00, 273, 0, 101.78, 1
2016/01/22, 04:46:40, -42.993370, 147.349747, 183.55,  2160.00, 89, 0, 141.90, 1
2016/01/22, 04:49:42, -42.993744, 147.349823, 114.45,  2700.00, 87, 0, 42.04, 1
2016/01/22, 04:52:38, -42.993752, 147.350739, 125.65,  864.00, 177, 0, 74.50, 1
2016/01/22, 04:55:31, -42.994240, 147.350845, 16.59,  1944.00, 56, 0, 54.94, 1
2016/01/22, 04:58:00, -42.994240, 147.351700, -0.74,  0.00, 87, 0, 69.54, 
2016/01/22, 04:59:33, -42.994183, 147.352264, -1.86,  0.00, 0, 0, 46.31, 
2016/01/22, 05:01:06, -42.994106, 147.352753, 0.30,  0.00, 0, 0, 40.68, 
2016/01/22, 05:02:39, -42.994011, 147.353271, 2.43,  0.00, 0, 0, 43.43, 
2016/01/22, 05:04:12, -42.993900, 147.353592, -0.22,  0.00, 0, 0, 28.88, 
2016/01/22, 05:05:45, -42.993809, 147.353912, -0.83,  0.00, 0, 0, 27.92, 
2016/01/22, 05:07:18, -42.993771, 147.354324, 0.35,  0.00, 0, 0, 33.77, 
2016/01/22, 05:08:51, -42.993755, 147.354675, 1.63,  0.00, 0, 0, 28.60, 
2016/01/22, 05:10:24, -42.993729, 147.355118, 1.45,  0.00, 0, 0, 36.15, 
2016/01/22, 05:11:57, -42.993713, 147.355530, 0.42,  0.00, 74, 0, 33.56, 
2016/01/22, 05:13:30, -42.993687, 147.355942, 1.24,  0.00, 0, 0, 33.63, 
2016/01/22, 05:15:03, -42.993763, 147.356461, -1.65,  0.00, 87, 0, 43.05, 
2016/01/22, 05:16:37, -42.993736, 147.356842, 1.87,  0.00, 0, 0, 31.13, 
2016/01/22, 05:18:10, -42.993725, 147.357239, -0.06,  0.00, 39, 0, 32.31, 
2016/01/22, 05:19:43, -42.993744, 147.357666, 1.29,  0.00, 0, 0, 34.79, 
2016/01/22, 05:21:16, -42.993736, 147.358170, 1.86,  0.00, 0, 0, 41.00, 
2016/01/22, 05:22:49, -42.993801, 147.358627, 4.20,  0.00, 0, 0, 37.86, 
2016/01/22, 05:24:22, -42.993835, 147.359131, 4.06,  0.00, 132, 0, 41.16, 
2016/01/22, 05:25:55, -42.993847, 147.359604, -1.26,  0.00, 63, 0, 38.49, 
2016/01/22, 05:27:28, -42.993885, 147.360138, 3.92,  0.00, 28, 0, 43.64, 
2016/01/22, 05:29:01, -42.993950, 147.360641, 0.97,  0.00, 100, 0, 41.54, 
2016/01/22, 05:30:34, -42.993923, 147.361160, 3.69,  0.00, 0, 0, 42.32, 
2016/01/22, 05:32:07, -42.993855, 147.361526, 2.06,  0.00, 0, 0, 30.71, 
2016/01/22, 05:33:41, -42.993839, 147.361938, -1.93,  0.00, 110, 0, 33.56, 
2016/01/22, 05:35:14, -42.993816, 147.362274, 5.24,  0.00, 0, 0, 27.45, 
2016/01/22, 05:36:48, -42.993828, 147.362595, -0.59,  0.00, 0, 0, 26.14, 
2016/01/22, 05:38:21, -42.993858, 147.362991, 4.42,  0.00, 0, 0, 32.38, 
2016/01/22, 05:39:54, -42.993851, 147.363281, 5.27,  0.00, 0, 0, 23.60, 
2016/01/22, 05:41:28, -42.993725, 147.363647, -1.18,  1332.00, 58, 0, 32.90, 1
2016/01/22, 05:43:03, -42.993645, 147.364044, 1.72,  0.00, 52, 0, 33.49, 1
2016/01/22, 05:44:36, -42.993595, 147.364365, 5.37,  0.00, 78, 0, 26.69, 
2016/01/22, 05:46:10, -42.993561, 147.364609, 5.21,  396.00, 18, 0, 20.20, 
2016/01/22, 05:47:43, -42.993542, 147.364807, -6.04,  0.00, 19, 0, 16.24, 
2016/01/22, 05:49:16, -42.993473, 147.365051, 7.09,  0.00, 0, 0, 21.28, 
2016/01/22, 05:50:50, -42.993366, 147.365524, 5.71,  0.00, 0, 0, 40.27, 
2016/01/22, 05:55:56, -42.993366, 147.365524, 5.71,  0.00, 0, 0, 0.00, 
2016/01/22, 05:57:30, -42.992290, 147.367950, 4.69,  0.00, 0, 0, 230.75, 
