Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Essential
2016/01/23, 03:59:17, -42.990173, 147.330948, 10.02,  2376.00, 285, 0, 129.85, 1
2016/01/23, 04:01:38, -42.990536, 147.332840, -3.28,  1692.00, 137, 0, 159.09, 1
2016/01/23, 04:03:29, -42.990784, 147.334381, 0.21,  0.00, 110, 0, 128.34, 1
2016/01/23, 04:05:05, -42.990974, 147.335464, 3.67,  0.00, 114, 0, 90.58, 
2016/01/23, 04:06:39, -42.991089, 147.336136, -5.37,  0.00, 110, 0, 56.13, 
2016/01/23, 04:08:14, -42.991234, 147.336884, 12.43,  0.00, 94, 0, 62.94, 
2016/01/23, 04:09:49, -42.991230, 147.337296, 3.06,  0.00, 0, 0, 33.51, 
2016/01/23, 04:11:24, -42.991222, 147.337692, 4.92,  0.00, 60, 0, 32.22, 
2016/01/23, 04:12:58, -42.991077, 147.338211, 13.50,  0.00, 0, 0, 45.19, 
2016/01/23, 04:14:33, -42.991100, 147.338516, 4.31,  0.00, 67, 0, 24.94, 
2016/01/23, 04:16:08, -42.991146, 147.338943, 4.36,  2448.00, 90, 0, 35.10, 1
2016/01/23, 04:17:42, -42.991142, 147.339325, 4.69,  0.00, 86, 0, 31.07, 1
2016/01/23, 04:19:17, -42.991093, 147.339645, -2.71,  7776.00, 273, 0, 26.59, 
2016/01/23, 04:20:52, -42.991199, 147.340164, -3.03,  864.00, 81, 0, 43.83, 1
2016/01/23, 04:22:31, -42.991150, 147.340591, 17.91,  828.00, 33, 0, 35.15, 1
2016/01/23, 04:24:06, -42.991158, 147.340652, -3.34,  2628.00, 240, 0, 5.04, 
2016/01/23, 04:26:01, -42.991131, 147.341187, 12.06,  1296.00, 140, 0, 43.62, 
2016/01/23, 04:27:37, -42.991226, 147.341400, -1.76,  1476.00, 31, 0, 20.29, 1
2016/01/23, 04:29:11, -42.991295, 147.341843, 7.80,  576.00, 58, 0, 36.84, 1
2016/01/23, 04:30:45, -42.991318, 147.342178, -4.63,  0.00, 83, 0, 27.37, 
2016/01/23, 04:32:19, -42.991398, 147.342438, 4.22,  0.00, 80, 0, 22.94, 
2016/01/23, 04:33:53, -42.991482, 147.342773, -2.46,  0.00, 93, 0, 28.80, 
2016/01/23, 04:35:27, -42.991505, 147.343155, 2.16,  2448.00, 109, 0, 31.17, 1
2016/01/23, 04:37:02, -42.991596, 147.343536, 1.23,  1656.00, 144, 0, 32.60, 1
2016/01/23, 04:38:36, -42.991646, 147.343994, 0.96,  0.00, 0, 0, 37.66, 
2016/01/23, 04:40:10, -42.991516, 147.344360, -1.49,  0.00, 0, 0, 33.09, 
2016/01/23, 04:41:44, -42.991409, 147.344788, 1.14,  0.00, 0, 0, 36.79, 
2016/01/23, 04:43:17, -42.991161, 147.345139, -4.49,  0.00, 0, 0, 39.69, 
2016/01/23, 04:44:51, -42.991238, 147.345657, -2.47,  0.00, 139, 0, 42.99, 
2016/01/23, 04:46:25, -42.991280, 147.346207, -1.14,  0.00, 0, 0, 44.98, 
2016/01/23, 04:47:59, -42.991272, 147.346741, 3.19,  0.00, 0, 0, 43.44, 
2016/01/23, 04:49:33, -42.991318, 147.347305, 0.76,  1116.00, 93, 0, 46.16, 1
2016/01/23, 04:51:06, -42.991318, 147.347778, 3.52,  0.00, 0, 0, 38.47, 1
2016/01/23, 04:52:41, -42.991348, 147.348175, 8.47,  1800.00, 93, 0, 32.46, 
2016/01/23, 04:54:15, -42.991356, 147.348618, 3.36,  0.00, 0, 0, 36.04, 
2016/01/23, 04:55:48, -42.991398, 147.349121, 4.91,  0.00, 0, 0, 41.18, 
2016/01/23, 04:57:22, -42.991413, 147.349609, -0.54,  1332.00, 200, 0, 39.73, 1
2016/01/23, 04:58:56, -42.991417, 147.350052, 6.07,  0.00, 40, 0, 36.03, 1
2016/01/23, 05:00:29, -42.991447, 147.350494, 3.23,  0.00, 61, 0, 36.10, 
2016/01/23, 05:02:02, -42.991444, 147.350952, -2.54,  0.00, 0, 0, 37.25, 
