Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Essential
2016/01/24, 04:02:10, -42.990429, 147.330276, -4.66,  2808.00, 86, 0, 89.22, 
2016/01/24, 04:03:52, -42.990429, 147.330276, -4.66,  2808.00, 86, 0, 0.00, 1
2016/01/24, 04:05:28, -42.990547, 147.333588, 3.86,  0.00, 97, 0, 269.70, 1
2016/01/24, 04:07:02, -42.990814, 147.334091, 2.45,  0.00, 0, 0, 50.55, 
2016/01/24, 04:08:38, -42.990978, 147.334778, -1.49,  0.00, 99, 0, 58.78, 
2016/01/24, 04:10:12, -42.991039, 147.335297, 9.20,  1440.00, 210, 0, 42.75, 1
2016/01/24, 04:11:50, -42.991146, 147.335724, 2.27,  1620.00, 55, 0, 36.71, 1
2016/01/24, 04:13:33, -42.991146, 147.335724, 2.27,  1620.00, 55, 0, 0.00, 
2016/01/24, 04:15:10, -42.991402, 147.337662, 7.79,  1152.00, 106, 0, 160.18, 1
2016/01/24, 04:16:45, -42.991512, 147.337982, -5.59,  1476.00, 216, 0, 28.76, 1
2016/01/24, 04:18:21, -42.991623, 147.338531, 13.89,  4320.00, 62, 0, 46.33, 
2016/01/24, 04:19:56, -42.991692, 147.338959, 16.97,  2448.00, 134, 0, 35.65, 1
2016/01/24, 04:21:54, -42.991158, 147.341324, 245.06,  6120.00, 84, 0, 201.31, 1
2016/01/24, 04:23:29, -42.991913, 147.339828, 21.06,  2664.00, 94, 0, 147.83, 1
2016/01/24, 04:25:05, -42.992123, 147.340149, 8.03,  0.00, 111, 0, 35.03, 1
2016/01/24, 04:26:42, -42.992203, 147.340378, 6.83,  0.00, 209, 0, 20.64, 
2016/01/24, 04:28:20, -42.992252, 147.340698, 10.41,  0.00, 117, 0, 26.59, 
2016/01/24, 04:29:55, -42.992439, 147.340958, -12.03,  0.00, 78, 0, 29.66, 
2016/01/24, 04:31:52, -42.991245, 147.345139, 342.18,  5832.00, 80, 0, 365.05, 
2016/01/24, 04:33:27, -42.992664, 147.341934, -10.45,  1692.00, 95, 0, 304.71, 1
2016/01/24, 04:35:02, -42.992794, 147.342117, -20.43,  0.00, 141, 0, 20.75, 1
