Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Essential
2016/01/09, 04:18:54, -43.272327, 147.351120, -43.19,  0.00, 229, 0, 225.96, 1
2016/01/09, 04:25:48, -43.272327, 147.351120, -43.19,  0.00, 229, 0, 0.00, 
2016/01/09, 04:27:31, -43.278973, 147.357895, -43.61,  0.00, 95, 0, 920.30, 
2016/01/09, 04:29:09, -43.279629, 147.359085, 54.57,  4176.00, 189, 0, 120.83, 
2016/01/09, 04:30:52, -43.279629, 147.359085, 54.57,  4176.00, 189, 0, 0.00, 1
2016/01/09, 04:32:36, -43.282299, 147.361282, -31.04,  4104.00, 129, 0, 346.08, 1
2016/01/09, 04:34:15, -43.283440, 147.362671, 13.25,  5976.00, 132, 0, 169.52, 1
2016/01/09, 04:37:41, -43.283440, 147.362671, 13.25,  5976.00, 132, 0, 0.00, 1
2016/01/09, 04:39:27, -43.287315, 147.365982, 8.01,  4788.00, 195, 0, 507.43, 1
2016/01/09, 04:41:12, -43.288113, 147.367233, -17.81,  1944.00, 0, 0, 134.64, 1
2016/01/09, 04:42:54, -43.289429, 147.368561, 7.75,  1980.00, 237, 0, 181.57, 1
2016/01/09, 04:44:30, -43.290642, 147.369675, 2.73,  0.00, 327, 0, 162.24, 1
2016/01/09, 04:47:57, -43.290642, 147.369675, 2.73,  0.00, 327, 0, 0.00, 
2016/01/09, 04:49:43, -43.294037, 147.373184, 14.67,  3456.00, 113, 0, 472.41, 1
2016/01/09, 04:51:18, -43.295177, 147.374146, 16.31,  2412.00, 117, 0, 148.76, 1
2016/01/09, 04:53:01, -43.295177, 147.374146, 16.31,  2412.00, 117, 0, 0.00, 1
2016/01/09, 04:54:40, -43.297283, 147.376190, 15.06,  1908.00, 79, 0, 286.71, 1
2016/01/09, 04:56:19, -43.298172, 147.376709, -31.86,  9216.00, 89, 0, 107.41, 1
2016/01/09, 04:58:17, -43.298500, 147.376266, -122.34,  22212.00, 271, 0, 51.14, 1
2016/01/09, 05:00:18, -43.298832, 147.377853, -5.68,  900.00, 114, 0, 133.63, 1
2016/01/09, 05:02:10, -43.299091, 147.377808, -64.79,  0.00, 223, 0, 29.03, 1
2016/01/09, 05:04:10, -43.299274, 147.378677, -10.99,  1152.00, 290, 0, 73.21, 1
2016/01/09, 05:05:59, -43.299294, 147.378906, -13.16,  828.00, 7, 0, 18.66, 1
2016/01/09, 05:07:34, -43.299149, 147.379333, -7.05,  11016.00, 11, 0, 38.13, 
2016/01/09, 05:09:10, -43.299335, 147.379181, -30.58,  1764.00, 93, 0, 24.06, 
2016/01/09, 05:10:46, -43.299377, 147.379562, -20.77,  0.00, 95, 0, 31.18, 
2016/01/09, 05:12:36, -43.299438, 147.380066, -13.62,  756.00, 296, 0, 41.35, 1
2016/01/09, 05:14:13, -43.299576, 147.380646, -7.92,  1188.00, 116, 0, 49.38, 1
2016/01/09, 05:16:00, -43.299744, 147.380859, -21.52,  1800.00, 88, 0, 25.42, 
2016/01/09, 05:17:36, -43.299938, 147.381027, -23.86,  1152.00, 160, 0, 25.50, 1
2016/01/09, 05:19:24, -43.300228, 147.381210, -25.18,  2268.00, 166, 0, 35.48, 1
2016/01/09, 05:29:47, -43.300228, 147.381210, -25.18,  2268.00, 166, 0, 0.00, 
2016/01/09, 05:31:32, -43.307262, 147.396744, 455.15,  0.00, 0, 0, 1480.48, 
2016/01/09, 07:28:22, -43.307262, 147.396744, 455.15,  0.00, 0, 0, 0.00, 
2016/01/09, 07:31:34, -43.402824, 147.472275, 2.28,  2376.00, 212, 0, 12255.81, 
2016/01/09, 07:33:11, -43.402855, 147.472595, -8.92,  2196.00, 170, 0, 26.08, 1
2016/01/09, 07:34:49, -43.402782, 147.472916, -2.56,  864.00, 154, 0, 27.17, 1
2016/01/09, 07:36:25, -43.402714, 147.473129, -0.94,  4356.00, 150, 0, 18.80, 
2016/01/09, 07:38:08, -43.402817, 147.473282, 1.80,  1404.00, 162, 0, 16.85, 
2016/01/09, 07:39:52, -43.402817, 147.473282, 1.80,  1404.00, 162, 0, 0.00, 
2016/01/09, 07:41:29, -43.403473, 147.471588, -1.75,  1980.00, 357, 0, 155.08, 1
2016/01/09, 07:43:15, -43.403191, 147.471298, 21.29,  8028.00, 304, 0, 39.14, 1
2016/01/09, 07:44:52, -43.403248, 147.470581, -6.30,  1188.00, 195, 0, 58.27, 1
2016/01/09, 07:46:27, -43.403198, 147.470566, 7.78,  540.00, 157, 0, 5.69, 1
2016/01/09, 07:48:04, -43.403168, 147.470413, -0.75,  0.00, 330, 0, 12.80, 
2016/01/09, 07:49:40, -43.403294, 147.470245, 2.44,  3672.00, 139, 0, 19.51, 
2016/01/09, 07:51:18, -43.403496, 147.470184, 2.50,  5544.00, 211, 0, 23.00, 
2016/01/09, 07:52:55, -43.403801, 147.470001, 9.56,  0.00, 208, 0, 37.00, 
2016/01/09, 07:54:33, -43.404095, 147.469864, 1.55,  0.00, 225, 0, 34.51, 
2016/01/09, 07:56:10, -43.404324, 147.469894, 4.54,  2808.00, 190, 0, 25.58, 1
2016/01/09, 07:57:48, -43.404423, 147.469635, 5.89,  1080.00, 312, 0, 23.64, 1
2016/01/09, 07:59:35, -43.404846, 147.469711, -6.75,  0.00, 0, 0, 47.43, 
2016/01/09, 08:01:19, -43.404846, 147.469711, -6.75,  0.00, 0, 0, 0.00, 
2016/01/09, 08:03:04, -43.407074, 147.469528, -11.67,  4068.00, 149, 0, 248.18, 
2016/01/09, 08:13:25, -43.407074, 147.469528, -11.67,  4068.00, 149, 0, 0.00, 1
2016/01/09, 08:15:18, -43.413960, 147.467026, -0.72,  1008.00, 137, 0, 791.91, 1
2016/01/09, 08:17:08, -43.414978, 147.467514, -0.82,  864.00, 182, 0, 119.86, 1
2016/01/09, 08:18:52, -43.414978, 147.467514, -0.82,  864.00, 182, 0, 0.00, 1
2016/01/09, 08:20:34, -43.417019, 147.466721, -2.99,  2628.00, 186, 0, 235.81, 1
2016/01/09, 08:22:14, -43.417622, 147.466690, -0.93,  468.00, 222, 0, 67.10, 1
2016/01/09, 08:23:56, -43.418365, 147.467270, 6.02,  1692.00, 109, 0, 94.97, 1
2016/01/09, 08:32:40, -43.418365, 147.467270, 6.02,  1692.00, 109, 0, 0.00, 1
2016/01/09, 08:34:35, -43.424595, 147.467056, -0.54,  1908.00, 232, 0, 692.96, 1
2016/01/09, 08:36:27, -43.425388, 147.467407, 6.31,  1728.00, 198, 0, 92.62, 1
2016/01/09, 08:41:49, -43.425388, 147.467407, 6.31,  1728.00, 198, 0, 0.00, 1
2016/01/09, 08:43:38, -43.429367, 147.465530, -3.95,  1368.00, 121, 0, 467.69, 1
2016/01/09, 08:45:28, -43.430595, 147.464859, 4.46,  432.00, 220, 0, 146.91, 1
2016/01/09, 08:47:10, -43.431519, 147.464371, -2.53,  2664.00, 108, 0, 110.04, 1
2016/01/09, 08:48:54, -43.432308, 147.464279, 2.91,  1368.00, 183, 0, 88.05, 1
2016/01/09, 08:50:44, -43.432880, 147.464111, -7.83,  3312.00, 224, 0, 65.03, 1
2016/01/09, 08:52:30, -43.433765, 147.463562, 2.44,  2376.00, 125, 0, 107.93, 1
2016/01/09, 08:54:34, -43.434120, 147.463745, -1.99,  5184.00, 222, 0, 42.15, 1
2016/01/09, 08:56:34, -43.434505, 147.463928, 2.04,  0.00, 58, 0, 45.29, 
2016/01/09, 08:58:11, -43.434692, 147.464111, -0.16,  5580.00, 147, 0, 25.51, 1
2016/01/09, 08:59:48, -43.435127, 147.463989, -3.67,  0.00, 71, 0, 49.36, 1
2016/01/09, 09:01:26, -43.435467, 147.464142, 8.93,  0.00, 139, 0, 39.77, 
2016/01/09, 09:03:02, -43.435749, 147.464218, 0.56,  1332.00, 156, 0, 31.95, 1
2016/01/09, 09:04:38, -43.436012, 147.464447, 4.25,  5724.00, 182, 0, 34.60, 1
2016/01/09, 09:06:24, -43.436581, 147.464508, 121.17,  13356.00, 120, 0, 63.46, 1
2016/01/09, 09:08:01, -43.437443, 147.463821, 3.23,  0.00, 246, 0, 110.74, 1
2016/01/09, 09:09:46, -43.437443, 147.463821, 3.23,  0.00, 246, 0, 0.00, 
2016/01/09, 09:11:22, -43.438633, 147.462265, 4.39,  0.00, 81, 0, 182.46, 
2016/01/09, 09:12:57, -43.438839, 147.462204, -3.47,  1764.00, 29, 0, 23.43, 1
2016/01/09, 09:14:33, -43.438915, 147.462067, 3.22,  0.00, 326, 0, 13.92, 1
2016/01/09, 09:16:09, -43.439079, 147.461975, -6.71,  0.00, 215, 0, 19.69, 
2016/01/09, 09:17:45, -43.439194, 147.461975, -3.09,  900.00, 189, 0, 12.79, 
2016/01/09, 09:19:21, -43.439293, 147.462219, 2.39,  1116.00, 205, 0, 22.57, 
2016/01/09, 09:20:59, -43.439404, 147.462326, -1.35,  0.00, 63, 0, 15.07, 
2016/01/09, 09:22:35, -43.439453, 147.462540, 1.46,  1692.00, 171, 0, 18.12, 1
2016/01/09, 09:24:13, -43.439526, 147.462738, 4.27,  0.00, 151, 0, 17.93, 1
