Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Essential
2016/01/12, 04:11:23, -43.271519, 147.350662, -34.49,  3744.00, 16, 0, 173.54, 
2016/01/12, 04:13:06, -43.271519, 147.350662, -34.49,  3744.00, 16, 0, 0.00, 1
2016/01/12, 04:14:46, -43.273640, 147.353165, -63.41,  10440.00, 232, 0, 310.95, 1
2016/01/12, 04:16:29, -43.273640, 147.353165, -63.41,  10440.00, 232, 0, 0.00, 1
2016/01/12, 04:18:14, -43.275887, 147.355499, 13.02,  0.00, 56, 0, 313.26, 
2016/01/12, 04:23:23, -43.275887, 147.355499, 13.02,  0.00, 56, 0, 0.00, 
2016/01/12, 04:24:59, -43.279976, 147.359543, -2.67,  0.00, 100, 0, 560.27, 
2016/01/12, 04:26:42, -43.279976, 147.359543, -2.67,  0.00, 100, 0, 0.00, 
2016/01/12, 04:28:18, -43.281975, 147.362198, 20.68,  7308.00, 185, 0, 309.19, 1
2016/01/12, 04:30:00, -43.283226, 147.363480, -69.00,  15588.00, 161, 0, 173.55, 1
2016/01/12, 04:35:10, -43.283226, 147.363480, -69.00,  15588.00, 161, 0, 0.00, 1
2016/01/12, 04:36:48, -43.287300, 147.367615, 6.58,  0.00, 5, 0, 563.24, 
2016/01/12, 04:40:14, -43.287300, 147.367615, 6.58,  0.00, 5, 0, 0.00, 
2016/01/12, 04:41:50, -43.289791, 147.370270, 24.72,  2772.00, 187, 0, 350.57, 
2016/01/12, 04:45:16, -43.289791, 147.370270, 24.72,  2772.00, 187, 0, 0.00, 1
2016/01/12, 04:47:03, -43.292950, 147.374130, 10.36,  0.00, 0, 0, 470.09, 1
2016/01/12, 04:50:29, -43.292950, 147.374130, 10.36,  0.00, 0, 0, 0.00, 
2016/01/12, 04:52:05, -43.296047, 147.375839, 4.25,  0.00, 130, 0, 371.11, 
2016/01/12, 04:55:31, -43.296047, 147.375839, 4.25,  0.00, 130, 0, 0.00, 
2016/01/12, 04:57:08, -43.299152, 147.378387, -17.41,  0.00, 284, 0, 402.15, 
2016/01/12, 04:58:52, -43.300354, 147.378662, 28.83,  3672.00, 313, 0, 135.50, 
2016/01/12, 05:02:20, -43.300354, 147.378662, 28.83,  3672.00, 313, 0, 0.00, 1
2016/01/12, 05:03:55, -43.303989, 147.380280, -46.73,  1656.00, 237, 0, 424.87, 1
2016/01/12, 05:05:37, -43.304985, 147.380219, 75.83,  22860.00, 133, 0, 110.86, 1
2016/01/12, 05:07:20, -43.304985, 147.380219, 75.83,  22860.00, 133, 0, 0.00, 1
2016/01/12, 05:08:58, -43.307308, 147.380707, -23.81,  0.00, 0, 0, 261.31, 
2016/01/12, 05:10:41, -43.307308, 147.380707, -23.81,  0.00, 0, 0, 0.00, 
2016/01/12, 05:12:15, -43.309525, 147.381317, -5.30,  2088.00, 38, 0, 251.41, 
2016/01/12, 05:13:58, -43.309525, 147.381317, -5.30,  2088.00, 38, 0, 0.00, 1
2016/01/12, 05:15:42, -43.311401, 147.382538, 0.71,  0.00, 53, 0, 230.81, 1
2016/01/12, 05:17:16, -43.312355, 147.383179, -8.95,  4356.00, 296, 0, 118.08, 
2016/01/12, 05:18:51, -43.312283, 147.382965, 19.15,  1188.00, 96, 0, 19.08, 
2016/01/12, 05:20:26, -43.312222, 147.382874, 5.29,  0.00, 355, 0, 10.01, 
2016/01/12, 05:22:02, -43.312176, 147.382858, -6.34,  720.00, 334, 0, 5.28, 
2016/01/12, 05:23:37, -43.312038, 147.382904, -4.32,  1980.00, 359, 0, 15.79, 
2016/01/12, 05:25:12, -43.311913, 147.382935, -5.02,  0.00, 0, 0, 14.12, 
2016/01/12, 05:26:55, -43.311913, 147.382935, -5.02,  0.00, 0, 0, 0.00, 
2016/01/12, 05:28:30, -43.311920, 147.383514, -0.37,  936.00, 21, 0, 46.85, 1
2016/01/12, 05:30:05, -43.311954, 147.383850, -4.35,  1368.00, 60, 0, 27.45, 1
2016/01/12, 05:31:47, -43.311836, 147.383881, -3.14,  0.00, 270, 0, 13.36, 
2016/01/12, 05:33:23, -43.311668, 147.383957, -6.97,  1512.00, 143, 0, 19.67, 
2016/01/12, 05:34:58, -43.311512, 147.383942, -16.82,  0.00, 78, 0, 17.39, 
2016/01/12, 05:52:08, -43.311512, 147.383942, -16.82,  0.00, 78, 0, 0.00, 
2016/01/12, 05:53:50, -43.321011, 147.395248, 1.72,  3276.00, 86, 0, 1397.25, 1
2016/01/12, 09:45:51, -43.321011, 147.395248, 1.72,  3276.00, 86, 0, 0.00, 
2016/01/12, 09:49:27, -43.449963, 147.443329, 2.32,  792.00, 136, 0, 14855.92, 
2016/01/12, 09:51:04, -43.449703, 147.443436, -4.14,  4608.00, 23, 0, 30.17, 1
2016/01/12, 09:52:40, -43.449417, 147.443588, -12.59,  0.00, 13, 0, 34.09, 1
2016/01/12, 09:54:15, -43.448914, 147.443771, -1.18,  0.00, 345, 0, 57.85, 
2016/01/12, 09:55:50, -43.448608, 147.443680, 1.10,  1332.00, 347, 0, 34.81, 1
2016/01/12, 09:57:26, -43.448238, 147.443619, 15.96,  2808.00, 273, 0, 41.44, 1
2016/01/12, 09:59:03, -43.447983, 147.443680, -12.05,  2916.00, 294, 0, 28.78, 
2016/01/12, 10:00:36, -43.447670, 147.443558, 0.39,  1044.00, 46, 0, 36.17, 1
2016/01/12, 10:02:13, -43.447369, 147.443481, -7.33,  2952.00, 237, 0, 34.04, 1
2016/01/12, 10:03:47, -43.447079, 147.443344, -7.35,  2268.00, 41, 0, 34.09, 
2016/01/12, 10:05:21, -43.446827, 147.443146, -4.73,  2124.00, 82, 0, 32.26, 1
2016/01/12, 10:06:55, -43.446522, 147.443008, 3.10,  1620.00, 47, 0, 35.70, 1
2016/01/12, 10:08:29, -43.446259, 147.442749, -16.33,  0.00, 324, 0, 35.95, 
2016/01/12, 10:10:03, -43.446007, 147.442215, 2.98,  2664.00, 219, 0, 51.42, 1
2016/01/12, 10:11:47, -43.445805, 147.441925, -7.59,  1044.00, 297, 0, 32.44, 1
2016/01/12, 10:20:21, -43.445805, 147.441925, -7.59,  1044.00, 297, 0, 0.00, 
2016/01/12, 10:21:56, -43.448463, 147.436981, -3.37,  0.00, 298, 0, 496.64, 
2016/01/12, 10:23:31, -43.448925, 147.435410, -0.07,  0.00, 261, 0, 136.83, 
2016/01/12, 10:25:06, -43.449451, 147.434265, -34.73,  8280.00, 137, 0, 109.38, 1
2016/01/12, 10:26:46, -43.450424, 147.433456, 1.17,  9576.00, 199, 0, 126.37, 1
2016/01/12, 10:33:37, -43.450424, 147.433456, 1.17,  9576.00, 199, 0, 0.00, 1
2016/01/12, 10:35:11, -43.454208, 147.429825, 0.00,  2880.00, 228, 0, 512.78, 1
2016/01/12, 10:36:47, -43.455173, 147.429199, -0.89,  0.00, 88, 0, 118.61, 1
2016/01/12, 10:38:24, -43.455696, 147.429108, 3.43,  0.00, 296, 0, 58.62, 
2016/01/12, 10:40:07, -43.455696, 147.429108, 3.43,  0.00, 296, 0, 0.00, 
2016/01/12, 10:41:43, -43.457279, 147.428085, 14.96,  576.00, 254, 0, 194.43, 1
2016/01/12, 10:43:19, -43.457203, 147.427704, -2.61,  2376.00, 309, 0, 31.89, 1
2016/01/12, 10:45:04, -43.457619, 147.427383, 15.15,  2556.00, 23, 0, 53.02, 
2016/01/12, 10:50:12, -43.457619, 147.427383, 15.15,  2556.00, 23, 0, 0.00, 1
2016/01/12, 10:51:57, -43.461525, 147.424240, 9.24,  0.00, 0, 0, 502.98, 1
2016/01/12, 10:55:22, -43.461525, 147.424240, 9.24,  0.00, 0, 0, 0.00, 
2016/01/12, 10:57:00, -43.461971, 147.419144, 3.01,  1800.00, 339, 0, 414.27, 1
2016/01/12, 10:58:40, -43.462036, 147.417511, 24.92,  0.00, 198, 0, 132.00, 1
2016/01/12, 11:00:20, -43.462811, 147.415863, 3.36,  0.00, 204, 0, 158.48, 
2016/01/12, 11:01:57, -43.462860, 147.414658, 7.30,  0.00, 0, 0, 97.41, 
2016/01/12, 11:03:31, -43.463955, 147.412933, 1.89,  7236.00, 246, 0, 184.95, 
2016/01/12, 11:10:22, -43.463955, 147.412933, 1.89,  7236.00, 246, 0, 0.00, 1
2016/01/12, 11:12:04, -43.470310, 147.409332, -0.38,  0.00, 160, 0, 764.07, 1
2016/01/12, 11:15:30, -43.470310, 147.409332, -0.38,  0.00, 160, 0, 0.00, 
2016/01/12, 11:17:06, -43.474014, 147.407333, -27.46,  0.00, 164, 0, 442.33, 
2016/01/12, 11:18:40, -43.475189, 147.407608, 0.64,  0.00, 81, 0, 132.53, 
2016/01/12, 11:22:05, -43.475189, 147.407608, 0.64,  0.00, 81, 0, 0.00, 
2016/01/12, 11:23:41, -43.478268, 147.407455, -0.49,  5904.00, 197, 0, 342.59, 
2016/01/12, 11:27:06, -43.478268, 147.407455, -0.49,  5904.00, 197, 0, 0.00, 1
2016/01/12, 11:28:48, -43.481747, 147.408295, -17.14,  0.00, 304, 0, 392.74, 1
2016/01/12, 11:30:22, -43.483124, 147.408310, 7.91,  324.00, 295, 0, 153.12, 1
2016/01/12, 11:31:58, -43.484467, 147.408340, 8.54,  3672.00, 219, 0, 149.35, 1
2016/01/12, 11:33:36, -43.485809, 147.408508, 3.90,  2808.00, 185, 0, 149.84, 1
2016/01/12, 11:42:10, -43.485809, 147.408508, 3.90,  2808.00, 185, 0, 0.00, 1
2016/01/12, 11:43:57, -43.494850, 147.410492, -3.18,  0.00, 0, 0, 1017.97, 
2016/01/12, 11:45:39, -43.495823, 147.410461, 1.79,  4572.00, 200, 0, 108.22, 
2016/01/12, 11:54:14, -43.495823, 147.410461, 1.79,  4572.00, 200, 0, 0.00, 1
2016/01/12, 11:55:49, -43.505184, 147.411850, 0.23,  2268.00, 149, 0, 1046.91, 1
2016/01/12, 11:59:15, -43.505184, 147.411850, 0.23,  2268.00, 149, 0, 0.00, 1
2016/01/12, 12:00:57, -43.509060, 147.413773, 74.66,  25776.00, 201, 0, 458.05, 
2016/01/12, 12:04:23, -43.509060, 147.413773, 74.66,  25776.00, 201, 0, 0.00, 1
2016/01/12, 12:06:11, -43.513294, 147.412750, -3.49,  3708.00, 196, 0, 477.97, 1
2016/01/12, 12:14:45, -43.513294, 147.412750, -3.49,  3708.00, 196, 0, 0.00, 1
2016/01/12, 12:16:22, -43.520500, 147.408981, 17.23,  6444.00, 203, 0, 856.97, 
2016/01/12, 12:24:56, -43.520500, 147.408981, 17.23,  6444.00, 203, 0, 0.00, 1
2016/01/12, 12:26:41, -43.527645, 147.402557, 36.83,  0.00, 0, 0, 948.41, 1
2016/01/12, 12:28:22, -43.528694, 147.402176, 13.58,  0.00, 249, 0, 120.62, 
2016/01/12, 12:29:58, -43.529446, 147.401642, 14.70,  19692.00, 12, 0, 94.05, 
2016/01/12, 12:33:24, -43.529446, 147.401642, 14.70,  19692.00, 12, 0, 0.00, 1
2016/01/12, 12:35:10, -43.532490, 147.397675, -13.29,  2772.00, 81, 0, 465.66, 1
2016/01/12, 12:36:50, -43.533493, 147.396027, 0.79,  0.00, 216, 0, 173.46, 1
2016/01/12, 12:38:35, -43.534630, 147.394409, 7.13,  0.00, 0, 0, 181.65, 
2016/01/12, 12:40:12, -43.535767, 147.393265, 9.72,  2556.00, 230, 0, 156.49, 1
2016/01/12, 12:41:49, -43.536812, 147.391937, 13.08,  2376.00, 210, 0, 157.99, 1
2016/01/12, 12:57:16, -43.536812, 147.391937, 13.08,  2376.00, 210, 0, 0.00, 1
2016/01/12, 12:59:01, -43.544437, 147.373749, 57.66,  0.00, 0, 0, 1693.54, 
2016/01/12, 13:22:47, -43.544437, 147.373749, 57.66,  0.00, 0, 0, 0.00, 
2016/01/12, 13:27:39, -43.551701, 147.348404, -3.64,  2916.00, 285, 0, 2196.55, 1
2016/01/12, 13:29:22, -43.551735, 147.347733, 1.13,  1728.00, 288, 0, 54.21, 1
2016/01/12, 13:31:01, -43.551918, 147.346939, 6.04,  3600.00, 213, 0, 67.15, 1
2016/01/12, 13:32:42, -43.551960, 147.346344, 2.21,  2016.00, 218, 0, 48.18, 1
2016/01/12, 13:39:35, -43.551960, 147.346344, 2.21,  2016.00, 218, 0, 0.00, 
2016/01/12, 13:41:25, -43.549519, 147.342712, 8.06,  4968.00, 233, 0, 399.18, 1
2016/01/12, 13:43:07, -43.549706, 147.342285, 5.63,  1908.00, 274, 0, 40.21, 1
2016/01/12, 13:44:56, -43.549129, 147.341324, 7.17,  1944.00, 243, 0, 100.57, 1
2016/01/12, 13:46:34, -43.548649, 147.339859, 5.84,  3168.00, 274, 0, 129.57, 1
2016/01/12, 13:48:12, -43.548149, 147.338501, 7.80,  2484.00, 308, 0, 122.76, 1
2016/01/12, 13:49:53, -43.548000, 147.337051, 10.06,  1872.00, 271, 0, 118.03, 1
2016/01/12, 13:51:36, -43.548000, 147.337051, 10.06,  1872.00, 271, 0, 0.00, 1
2016/01/12, 13:53:17, -43.548050, 147.335236, 6.39,  3600.00, 268, 0, 146.38, 1
2016/01/12, 13:55:02, -43.548157, 147.334747, -6.87,  504.00, 107, 0, 41.17, 1
2016/01/12, 13:56:45, -43.548157, 147.334747, -6.87,  504.00, 107, 0, 0.00, 
2016/01/12, 13:58:27, -43.547920, 147.333054, 4.53,  4032.00, 266, 0, 138.97, 
2016/01/12, 14:00:08, -43.547569, 147.333252, 3.86,  1800.00, 229, 0, 42.17, 
2016/01/12, 14:01:48, -43.547813, 147.333466, 4.25,  3780.00, 194, 0, 32.15, 1
2016/01/12, 14:03:35, -43.547455, 147.333267, 2.24,  3168.00, 281, 0, 42.92, 1
2016/01/12, 14:07:01, -43.547455, 147.333267, 2.24,  3168.00, 281, 0, 0.00, 
2016/01/12, 14:09:05, -43.546463, 147.331131, 4.04,  2088.00, 339, 0, 204.46, 1
2016/01/12, 14:10:40, -43.545979, 147.330154, 5.31,  3852.00, 222, 0, 95.38, 1
2016/01/12, 14:12:14, -43.546001, 147.328537, 11.81,  3420.00, 252, 0, 130.35, 1
2016/01/12, 14:13:57, -43.546001, 147.328537, 11.81,  3420.00, 252, 0, 0.00, 1
2016/01/12, 14:15:42, -43.545879, 147.325119, -0.24,  3636.00, 216, 0, 275.81, 1
2016/01/12, 14:17:17, -43.546921, 147.324005, 7.86,  2988.00, 194, 0, 146.58, 1
2016/01/12, 14:18:52, -43.548206, 147.323242, 5.62,  0.00, 222, 0, 155.56, 1
2016/01/12, 14:20:35, -43.549465, 147.323456, 5.03,  0.00, 136, 0, 141.05, 
2016/01/12, 14:22:11, -43.550472, 147.324097, 13.09,  0.00, 192, 0, 123.32, 
2016/01/12, 14:23:56, -43.551342, 147.324722, -5.39,  324.00, 157, 0, 109.07, 1
2016/01/12, 14:25:30, -43.551807, 147.325241, 3.08,  4320.00, 177, 0, 66.50, 1
2016/01/12, 14:27:04, -43.553017, 147.324921, 3.03,  3780.00, 215, 0, 136.99, 1
2016/01/12, 14:28:38, -43.554153, 147.325089, 3.01,  2088.00, 237, 0, 127.04, 1
2016/01/12, 14:30:14, -43.554974, 147.325409, 4.47,  0.00, 170, 0, 94.86, 1
2016/01/12, 14:31:49, -43.555920, 147.325821, -1.46,  0.00, 219, 0, 110.31, 
2016/01/12, 14:33:23, -43.556759, 147.326462, 10.43,  5616.00, 231, 0, 106.64, 1
2016/01/12, 14:34:59, -43.557022, 147.327072, 21.22,  6444.00, 229, 0, 57.20, 1
2016/01/12, 14:38:25, -43.557022, 147.327072, 21.22,  6444.00, 229, 0, 0.00, 
2016/01/12, 14:40:05, -43.558388, 147.326675, -1.01,  0.00, 131, 0, 155.22, 
2016/01/12, 14:41:40, -43.558449, 147.327240, -3.77,  0.00, 260, 0, 46.03, 
2016/01/12, 14:43:15, -43.558578, 147.327667, 3.69,  900.00, 321, 0, 37.28, 
2016/01/12, 14:55:16, -43.558578, 147.327667, 3.69,  900.00, 321, 0, 0.00, 
2016/01/12, 14:56:50, -43.556606, 147.329147, -0.95,  1224.00, 210, 0, 249.61, 
2016/01/12, 15:01:59, -43.556606, 147.329147, -0.95,  1224.00, 210, 0, 0.00, 1
2016/01/12, 15:03:36, -43.554794, 147.329727, -2.26,  6876.00, 271, 0, 206.84, 1
2016/01/12, 15:05:19, -43.554794, 147.329727, -2.26,  6876.00, 271, 0, 0.00, 1
2016/01/12, 15:07:05, -43.553169, 147.329346, 0.90,  0.00, 229, 0, 183.28, 
2016/01/12, 15:08:48, -43.553169, 147.329346, 0.90,  0.00, 229, 0, 0.00, 
2016/01/12, 15:10:28, -43.552799, 147.328278, 0.09,  3024.00, 11, 0, 95.40, 1
2016/01/12, 15:12:02, -43.552399, 147.328293, -5.25,  1116.00, 157, 0, 44.49, 1
2016/01/12, 15:13:40, -43.551918, 147.328156, 1.72,  0.00, 28, 0, 54.61, 
2016/01/12, 15:15:17, -43.551346, 147.328156, -3.40,  0.00, 301, 0, 63.60, 
2016/01/12, 15:17:02, -43.551136, 147.327866, -11.43,  2808.00, 158, 0, 33.04, 
2016/01/12, 15:18:44, -43.551136, 147.327866, -11.43,  2808.00, 158, 0, 0.00, 
2016/01/12, 15:20:22, -43.551064, 147.326630, 0.29,  0.00, 200, 0, 99.93, 
2016/01/12, 15:22:02, -43.551655, 147.326950, -0.06,  4428.00, 263, 0, 70.60, 1
2016/01/12, 15:23:37, -43.551800, 147.326477, 20.50,  2016.00, 76, 0, 41.39, 1
2016/01/12, 15:25:20, -43.551800, 147.326477, 20.50,  2016.00, 76, 0, 0.00, 
2016/01/12, 15:26:56, -43.551071, 147.324814, 5.44,  0.00, 251, 0, 156.63, 
2016/01/12, 15:28:30, -43.550709, 147.324371, -41.41,  3996.00, 313, 0, 53.80, 
2016/01/12, 15:30:13, -43.550709, 147.324371, -41.41,  3996.00, 313, 0, 0.00, 1
2016/01/12, 15:31:49, -43.550678, 147.324387, -0.12,  4104.00, 253, 0, 3.68, 1
2016/01/12, 15:33:24, -43.550358, 147.324738, 3.12,  1368.00, 355, 0, 45.46, 
2016/01/12, 15:34:59, -43.550022, 147.324875, -6.06,  0.00, 249, 0, 38.96, 
2016/01/12, 15:36:44, -43.550022, 147.324875, -6.06,  0.00, 249, 0, 0.00, 
2016/01/12, 15:38:20, -43.549129, 147.325272, 7.73,  4572.00, 84, 0, 104.32, 
2016/01/12, 15:40:03, -43.549129, 147.325272, 7.73,  4572.00, 84, 0, 0.00, 1
2016/01/12, 15:41:45, -43.548962, 147.326584, 0.43,  2124.00, 76, 0, 107.36, 1
2016/01/12, 15:43:19, -43.548584, 147.327042, 4.28,  2952.00, 305, 0, 55.94, 1
2016/01/12, 15:55:19, -43.548584, 147.327042, 4.28,  2952.00, 305, 0, 0.00, 
2016/01/12, 15:57:00, -43.546246, 147.328293, 5.57,  3744.00, 84, 0, 278.84, 
