Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Essential
2016/01/13, 04:02:24, -43.272968, 147.352554, -21.84,  1836.00, 61, 0, 377.45, 1
2016/01/13, 04:03:59, -43.274433, 147.353760, -28.72,  0.00, 87, 0, 189.92, 1
2016/01/13, 04:10:53, -43.274433, 147.353760, -28.72,  0.00, 87, 0, 0.00, 
2016/01/13, 04:12:31, -43.280323, 147.359253, -14.83,  0.00, 175, 0, 791.64, 
2016/01/13, 04:14:09, -43.281242, 147.360336, 16.61,  4752.00, 158, 0, 134.64, 1
2016/01/13, 04:15:45, -43.282509, 147.361633, -7.00,  13608.00, 193, 0, 175.70, 1
2016/01/13, 04:17:24, -43.283604, 147.362091, 13.24,  3780.00, 214, 0, 127.28, 1
2016/01/13, 04:19:07, -43.283604, 147.362091, 13.24,  3780.00, 214, 0, 0.00, 1
2016/01/13, 04:20:45, -43.286095, 147.363632, -13.96,  5436.00, 127, 0, 303.78, 1
2016/01/13, 04:22:23, -43.287254, 147.364563, -33.33,  0.00, 148, 0, 149.29, 1
2016/01/13, 04:24:06, -43.287254, 147.364563, -33.33,  0.00, 148, 0, 0.00, 
2016/01/13, 04:25:51, -43.289474, 147.366470, -11.83,  0.00, 0, 0, 291.14, 
2016/01/13, 04:29:17, -43.289474, 147.366470, -11.83,  0.00, 0, 0, 0.00, 
2016/01/13, 04:31:01, -43.292938, 147.369186, 0.98,  13896.00, 353, 0, 443.49, 1
2016/01/13, 04:32:36, -43.294247, 147.370300, -23.81,  8136.00, 89, 0, 171.22, 1
2016/01/13, 04:34:20, -43.294247, 147.370300, -23.81,  8136.00, 89, 0, 0.00, 1
2016/01/13, 04:35:55, -43.296520, 147.372513, -15.52,  0.00, 275, 0, 309.77, 
2016/01/13, 04:37:38, -43.297401, 147.373322, -88.08,  5688.00, 55, 0, 117.83, 1
2016/01/13, 04:39:20, -43.298630, 147.372955, -208.77,  16812.00, 226, 0, 139.85, 1
2016/01/13, 04:42:45, -43.298630, 147.372955, -208.77,  16812.00, 226, 0, 0.00, 1
2016/01/13, 04:44:21, -43.301815, 147.378326, 161.36,  0.00, 27, 0, 560.66, 
2016/01/13, 04:47:47, -43.301815, 147.378326, 161.36,  0.00, 27, 0, 0.00, 
2016/01/13, 04:49:30, -43.305515, 147.380737, -35.93,  8676.00, 11, 0, 455.34, 1
2016/01/13, 04:51:13, -43.306374, 147.382004, 27.15,  4284.00, 85, 0, 140.12, 1
2016/01/13, 04:52:49, -43.306690, 147.382477, -6.32,  3780.00, 131, 0, 51.96, 1
2016/01/13, 04:54:23, -43.307289, 147.382858, -2.99,  2196.00, 108, 0, 73.39, 1
2016/01/13, 04:55:58, -43.307663, 147.383362, -5.29,  0.00, 121, 0, 58.25, 1
2016/01/13, 04:57:33, -43.307865, 147.383942, -1.00,  5616.00, 114, 0, 52.03, 1
2016/01/13, 04:59:08, -43.308300, 147.384247, 5.51,  6732.00, 246, 0, 54.30, 1
2016/01/13, 05:00:46, -43.308537, 147.384705, 6.63,  2340.00, 99, 0, 45.47, 
2016/01/13, 05:02:22, -43.308655, 147.385086, 4.84,  2268.00, 157, 0, 33.50, 1
2016/01/13, 05:03:57, -43.308769, 147.385406, 7.71,  864.00, 201, 0, 28.83, 1
2016/01/13, 05:05:33, -43.308922, 147.385590, 2.69,  0.00, 83, 0, 22.61, 
2016/01/13, 05:07:08, -43.309155, 147.385956, -6.15,  5112.00, 61, 0, 39.35, 1
2016/01/13, 05:08:44, -43.309311, 147.386337, -2.45,  1116.00, 215, 0, 35.37, 1
2016/01/13, 05:10:19, -43.309559, 147.386566, -4.64,  6156.00, 307, 0, 33.22, 
2016/01/13, 05:11:56, -43.309917, 147.387466, -4.79,  0.00, 216, 0, 82.99, 
2016/01/13, 05:13:34, -43.310856, 147.388840, -7.82,  0.00, 155, 0, 152.52, 
2016/01/13, 05:18:43, -43.310856, 147.388840, -7.82,  0.00, 155, 0, 0.00, 
2016/01/13, 05:20:26, -43.315430, 147.396667, 72.08,  7524.00, 71, 0, 812.22, 1
2016/01/13, 05:42:44, -43.315430, 147.396667, 72.08,  7524.00, 71, 0, 0.00, 
2016/01/13, 05:44:26, -43.336666, 147.412933, 59.33,  7128.00, 151, 0, 2703.17, 1
2016/01/13, 05:46:11, -43.337997, 147.414368, -29.65,  7056.00, 218, 0, 188.08, 1
2016/01/13, 05:49:37, -43.337997, 147.414368, -29.65,  7056.00, 218, 0, 0.00, 1
2016/01/13, 05:51:18, -43.342285, 147.417511, 36.30,  6120.00, 20, 0, 540.32, 
2016/01/13, 05:53:01, -43.342285, 147.417511, 36.30,  6120.00, 20, 0, 0.00, 1
2016/01/13, 05:54:44, -43.343456, 147.425385, 99.92,  9072.00, 41, 0, 649.93, 1
2016/01/13, 05:56:27, -43.346622, 147.420670, 26.14,  2556.00, 73, 0, 518.95, 1
2016/01/13, 06:08:26, -43.346622, 147.420670, 26.14,  2556.00, 73, 0, 0.00, 1
2016/01/13, 06:10:16, -43.357723, 147.432190, 0.68,  0.00, 230, 0, 1546.38, 
2016/01/13, 06:11:59, -43.357723, 147.432190, 0.68,  0.00, 230, 0, 0.00, 
2016/01/13, 06:13:44, -43.360947, 147.434540, 3.08,  3564.00, 67, 0, 405.72, 
2016/01/13, 06:17:12, -43.360947, 147.434540, 3.08,  3564.00, 67, 0, 0.00, 1
2016/01/13, 06:18:56, -43.365044, 147.438797, -9.00,  5364.00, 87, 0, 570.94, 1
2016/01/13, 06:25:49, -43.365044, 147.438797, -9.00,  5364.00, 87, 0, 0.00, 1
2016/01/13, 06:27:34, -43.371143, 147.441605, -51.82,  13824.00, 243, 0, 715.15, 1
2016/01/13, 06:29:16, -43.370869, 147.447708, 7.82,  7848.00, 252, 0, 494.25, 1
2016/01/13, 06:31:01, -43.372620, 147.447983, -36.55,  0.00, 0, 0, 195.97, 1
2016/01/13, 06:37:52, -43.372620, 147.447983, -36.55,  0.00, 0, 0, 0.00, 
2016/01/13, 06:39:42, -43.377182, 147.455765, -12.95,  0.00, 105, 0, 808.05, 
2016/01/13, 09:59:13, -43.377182, 147.455765, -12.95,  0.00, 105, 0, 0.00, 
2016/01/13, 10:03:01, -43.446686, 147.451141, 6.53,  1332.00, 63, 0, 7737.51, 
2016/01/13, 10:04:36, -43.446705, 147.451035, 3.12,  4500.00, 322, 0, 8.81, 
2016/01/13, 10:06:13, -43.446415, 147.450989, 17.64,  612.00, 344, 0, 32.46, 1
2016/01/13, 10:07:48, -43.446465, 147.450790, 2.62,  396.00, 192, 0, 17.00, 1
2016/01/13, 10:09:24, -43.446484, 147.450699, -6.43,  1368.00, 86, 0, 7.64, 
2016/01/13, 10:10:59, -43.446705, 147.450562, -38.92,  2808.00, 74, 0, 26.95, 
2016/01/13, 10:12:38, -43.446827, 147.450638, 0.82,  0.00, 164, 0, 14.89, 
2016/01/13, 10:14:13, -43.446983, 147.450653, 3.69,  0.00, 159, 0, 17.39, 
2016/01/13, 10:15:48, -43.447170, 147.450653, -2.13,  4716.00, 168, 0, 20.79, 1
2016/01/13, 10:17:27, -43.447269, 147.450592, 10.55,  540.00, 234, 0, 12.06, 1
2016/01/13, 10:19:04, -43.447502, 147.450424, 5.78,  0.00, 70, 0, 29.24, 
