Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Essential
2016/01/09, 04:16:12, -43.271118, 147.350769, 23.71,  8100.00, 138, 0, 138.40, 1
2016/01/09, 04:17:47, -43.272675, 147.352036, 11.65,  3852.00, 346, 0, 201.24, 1
2016/01/09, 04:19:20, -43.273834, 147.353271, 7.48,  2196.00, 168, 0, 163.11, 1
2016/01/09, 04:21:01, -43.273834, 147.353271, 7.48,  2196.00, 168, 0, 0.00, 1
2016/01/09, 04:22:42, -43.276093, 147.355225, -16.40,  2016.00, 0, 0, 296.85, 1
2016/01/09, 04:24:23, -43.277283, 147.356323, 49.61,  0.00, 121, 0, 159.41, 1
2016/01/09, 04:26:04, -43.277283, 147.356323, 49.61,  0.00, 121, 0, 0.00, 
2016/01/09, 04:27:46, -43.279736, 147.358643, -2.62,  0.00, 0, 0, 331.17, 
2016/01/09, 04:29:24, -43.281059, 147.359741, -26.22,  3564.00, 147, 0, 171.88, 1
2016/01/09, 04:31:05, -43.282139, 147.360977, 5.46,  0.00, 0, 0, 156.31, 1
2016/01/09, 04:32:38, -43.283157, 147.361969, 10.09,  0.00, 129, 0, 138.79, 
2016/01/09, 04:34:22, -43.284546, 147.362549, 20.28,  7596.00, 213, 0, 161.43, 1
2016/01/09, 04:35:54, -43.285473, 147.364594, -0.89,  2088.00, 167, 0, 195.00, 1
2016/01/09, 04:39:19, -43.285473, 147.364594, -0.89,  2088.00, 167, 0, 0.00, 1
2016/01/09, 04:40:53, -43.289185, 147.367310, 13.49,  3096.00, 122, 0, 467.65, 1
2016/01/09, 04:42:33, -43.290359, 147.368744, -16.36,  4680.00, 146, 0, 174.68, 1
2016/01/09, 04:44:09, -43.291218, 147.369736, -3.84,  4896.00, 115, 0, 124.78, 1
2016/01/09, 04:47:33, -43.291218, 147.369736, -3.84,  4896.00, 115, 0, 0.00, 1
2016/01/09, 04:49:11, -43.294197, 147.373154, 4.62,  2340.00, 220, 0, 431.57, 1
2016/01/09, 04:50:45, -43.294453, 147.373672, 1.87,  3060.00, 63, 0, 50.67, 1
2016/01/09, 04:52:45, -43.294933, 147.374222, -12.08,  4500.00, 128, 0, 69.50, 1
2016/01/09, 04:54:44, -43.295258, 147.374619, -31.79,  3096.00, 98, 0, 48.36, 1
2016/01/09, 04:57:05, -43.295425, 147.376236, 88.53,  3348.00, 98, 0, 132.18, 1
2016/01/09, 04:59:42, -43.295475, 147.376251, 21.17,  1332.00, 108, 0, 5.69, 1
2016/01/09, 05:02:38, -43.295689, 147.376450, -21.74,  720.00, 122, 0, 28.73, 
2016/01/09, 05:05:35, -43.295891, 147.377151, -28.15,  2160.00, 123, 0, 61.02, 1
2016/01/09, 05:08:32, -43.296165, 147.377960, -4.12,  1440.00, 196, 0, 72.21, 1
2016/01/09, 05:11:12, -43.296440, 147.378708, 6.05,  0.00, 127, 0, 67.82, 
