Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Essential
7/12/15, 03:51:48,-43.132362,147.674896,3.1,1872,53,0,69.3,1
7/12/15, 03:53:33,-43.132591,147.676117,-7.13,0,164,0,102.3,1
7/12/15, 03:55:08,-43.132824,147.677292,11.42,0,0,0,98.8, 
7/12/15, 03:56:58,-43.132931,147.678543,-1.84,612,21,0,102.21,1
7/12/15, 03:58:35,-43.132656,147.679718,4.76,900,43,0,100.13,1
7/12/15, 04:00:10,-43.132557,147.68045,-14.84,0,147,0,60.41,1
7/12/15, 04:01:54,-43.133308,147.680588,-12.94,2736,275,0,84.25, 
7/12/15, 04:03:38,-43.133308,147.680588,-12.94,2736,275,0,0,1
7/12/15, 04:05:18,-43.135441,147.681229,2.7,0,111,0,242.82,1
7/12/15, 04:06:54,-43.136623,147.681168,-0.08,0,238,0,131.53, 
7/12/15, 04:08:42,-43.1381,147.680862,-33.45,4824,174,0,166.1,1
7/12/15, 04:10:24,-43.139194,147.680527,-0.92,2376,245,0,124.65,1
7/12/15, 04:12:00,-43.140335,147.680328,6.81,0,0,0,127.9,1
7/12/15, 04:13:35,-43.141479,147.680069,-8.85,1260,0,0,128.93,1
7/12/15, 04:15:13,-43.142555,147.679947,11.05,0,241,0,120.05,1
7/12/15, 04:16:48,-43.143394,147.679489,10.65,0,222,0,100.42, 
7/12/15, 04:18:31,-43.144329,147.679077,0.82,4572,24,0,109.21,1
7/12/15, 04:20:20,-43.145756,147.678635,7.65,2484,183,0,162.68,1
7/12/15, 04:21:59,-43.147095,147.678085,-11.58,5724,177,0,155.43,1
7/12/15, 04:23:45,-43.148228,147.678268,17.96,0,0,0,126.86,1
7/12/15, 04:25:30,-43.149948,147.677979,7.52,3096,182,0,192.69,1
7/12/15, 04:27:13,-43.150768,147.678085,203.61,8964,167,0,91.58,1
7/12/15, 04:28:58,-43.150768,147.678085,203.61,8964,167,0,0,1
7/12/15, 04:30:39,-43.154095,147.676392,3.42,3744,184,0,394.62,1
7/12/15, 04:32:17,-43.155006,147.676056,6.69,0,203,0,104.9,1
7/12/15, 04:34:02,-43.155006,147.676056,6.69,0,203,0,0, 
7/12/15, 04:35:51,-43.157833,147.674896,-42.67,2988,92,0,328.13,1
7/12/15, 04:37:34,-43.158718,147.674072,-69.13,8280,210,0,118.96,1
7/12/15, 04:39:11,-43.159248,147.674225,0.99,1332,137,0,60.23,1
7/12/15, 04:40:48,-43.159534,147.674149,14.1,0,155,0,32.39,1
7/12/15, 04:42:24,-43.159977,147.673981,-6.47,0,206,0,51.11, 
7/12/15, 04:44:00,-43.160328,147.673843,3.03,0,210,0,40.6, 
7/12/15, 04:45:36,-43.160633,147.67366,2.38,0,217,0,37.02, 
7/12/15, 04:47:11,-43.160889,147.67337,0.63,0,0,0,36.93, 
7/12/15, 04:48:47,-43.161037,147.673233,-2.66,3096,224,0,19.86,1
7/12/15, 04:50:23,-43.161148,147.673019,4.67,0,167,0,21.3,1
7/12/15, 04:51:58,-43.16124,147.672791,8.1,540,200,0,21.13, 
7/12/15, 04:53:34,-43.161465,147.672562,-0.52,540,249,0,31.16,1
7/12/15, 04:55:09,-43.161644,147.672379,0.28,684,97,0,24.83,1
7/12/15, 04:56:46,-43.161896,147.672089,1.98,0,222,0,36.58, 
7/12/15, 04:58:32,-43.163074,147.672089,27.28,2880,174,0,130.99, 
7/12/15, 05:00:15,-43.163074,147.672089,27.28,2880,174,0,0,1
7/12/15, 05:03:33,-43.165321,147.670822,-4.46,1260,349,0,270.16,1
7/12/15, 05:06:50,-43.165459,147.670166,9.68,1548,227,0,55.37,1
7/12/15, 05:08:25,-43.165501,147.669907,4.84,0,292,0,21.52, 
7/12/15, 05:10:00,-43.165627,147.669464,31.67,3096,257,0,38.56,1
7/12/15, 05:11:34,-43.165756,147.669464,4.7,2016,153,0,14.34,1
7/12/15, 05:13:12,-43.165817,147.669205,17.76,0,119,0,22.07, 
7/12/15, 05:14:47,-43.166103,147.669067,-0.89,288,125,0,33.71,1
7/12/15, 05:16:28,-43.166306,147.666794,330.66,0,0,0,185.72,1
7/12/15, 05:18:09,-43.167454,147.667145,308.48,0,0,0,130.79, 
7/12/15, 05:19:53,-43.168694,147.668457,-38.24,0,0,0,174.16, 
7/12/15, 05:21:34,-43.168716,147.667297,306.3,0,0,0,94.11, 
7/12/15, 05:23:19,-43.171024,147.667191,138.98,0,40,0,256.78, 
7/12/15, 05:25:03,-43.17178,147.66951,-5.01,0,158,0,205.99, 
7/12/15, 05:26:39,-43.17289,147.669907,-6.61,10440,190,0,127.56,1
7/12/15, 05:28:16,-43.174,147.670242,0.09,0,166,0,126.38,1
7/12/15, 05:29:59,-43.174,147.670242,0.09,0,166,0,0, 
7/12/15, 05:31:40,-43.173664,147.670685,-15.43,0,0,0,51.83, 
7/12/15, 05:33:15,-43.176231,147.671173,2.73,0,0,0,288.17, 
7/12/15, 05:34:51,-43.176392,147.671021,4.95,0,0,0,21.74, 
7/12/15, 05:36:26,-43.176357,147.670807,14.47,1332,190,0,17.78, 
7/12/15, 05:38:01,-43.176342,147.670609,8.67,5724,343,0,16.14, 
7/12/15, 05:39:45,-43.176353,147.670395,7.98,720,176,0,17.4,1
7/12/15, 05:41:29,-43.176388,147.670151,4.62,1296,332,0,20.16,1
7/12/15, 05:43:13,-43.176449,147.6698,12.29,2268,220,0,29.26, 
